Affected_data_volume;Criminal_investigation_exception;Date;company_industry;country;country_security_exception;data_category_Basic_personal_data;data_category_Children_data;data_category_Criminal_data;data_category_Financial_location_data;data_category_Special_category_data;data_processing_basis_Consent;data_processing_basis_Legal_obligation;data_processing_basis_Legitimate_interest;data_processing_basis_Performance_of_public_task;data_processing_basis_Protection_of_vital_interests;data_processing_basis_contract_performance;fine_amount;free_speech_exception;gdpr_clause;gdpr_conflict;violation_nature_Breach_of_Data_processing_principle;violation_nature_Breach_of_data_security;violation_nature_Violation_of_Data_processing_obligation;violation_nature_Violation_of_data_subject_rights;violation_result
unspecific;0;2022;Retail;France;0;1;0;0;0;0;1;0;0;0;0;0;300000;0;Article 12, Article 15, Article 17, Article 32, Article 33;No conflict;0;1;0;1;1
unspecific;0;2020;Public sector;Iceland;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 13 of Regulation (EU) 2016/679;No conflict;1;0;1;1;1
unspecific;0;2022;Social Media;Germany;0;0;0;0;0;0;0;0;0;0;0;0;25000;1;Article 17(1);yes;0;0;0;1;1
unspecific;0;2019;Marketing;Iceland;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 21;yes;0;0;0;1;1
unspecific;0;2023;Social Media;Finland;0;1;0;0;1;0;0;0;0;0;0;0;0;1;Article 17, Article 21, Article 5(1)(a), Article 32;yes;1;0;0;1;0
unspecific;0;2022;Public sector;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 6(1)(c);No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Germany;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Article 58 Para. 2 GDPR;No conflict;0;0;1;0;1
unspecific;0;2020;Retail;Iceland;0;1;0;0;1;0;0;0;1;0;0;0;0;0;Article 9(2)(f);No conflict;1;0;0;0;1
unspecific;0;2022;Education;Iceland;0;0;1;0;0;0;0;1;0;1;0;0;0;0;Article 9 Act no. 90/2018;No conflict;1;0;0;0;1
unspecific;0;2023;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;100;0;Article 33;No conflict;0;1;0;0;1
unspecific;0;2021;Public sector;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 37(1);No conflict;0;0;1;0;0
unspecific;0;2022;Security Service;Iceland;0;1;0;0;0;0;1;0;1;0;0;0;0;0;Article 9 Act no. 90/2018;yes;1;0;1;1;1
unspecific;0;2021;Marketing;Romania;0;1;0;0;0;0;1;0;1;0;0;0;198013;0;Article 6, Article 21;No conflict;0;0;0;1;1
unspecific;0;2022;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;0;2000;0;Article 29, Article 32(1)(b), Article 32(2), Article 32(4);No conflict;1;1;1;0;1
unspecific;0;2020;Public sector;Germany;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Article 16 sentence 1 DSGVO;No conflict;0;0;0;1;1
800;0;2022;Public sector;Denmark;0;0;0;0;0;1;0;0;0;1;0;0;1339;0;Article 33;No conflict;1;1;1;0;1
unspecific;0;2022;Public sector;Germany;0;0;1;0;0;1;0;1;0;1;0;0;0;0;Not specified;No conflict;0;0;0;0;0
92;0;2021;Human resources;Luxembourg;0;0;0;0;1;0;0;0;0;0;0;0;2800;0;Article 5.1.e), Article 13, Article 32.1;No conflict;1;1;0;1;1
unspecific;0;2021;Public sector;Denmark;0;1;1;0;0;0;0;0;0;1;0;0;200000;0;Not specified;No conflict;1;1;1;1;1
unspecific;0;2024;Social Media;Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Article 17(1);yes;0;0;0;1;1
unspecific;0;2021;Retail;Iceland;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 9(2)(a);yes;1;0;1;1;1
unspecific;0;2022;Retail;Sweden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 15(1)(c);No conflict;1;0;0;1;1
unspecific;0;2020;Social Media;Ireland;0;0;0;0;0;0;1;0;1;0;0;1;0;0;Article 6(1)(b);yes;1;0;1;1;1
unspecific;0;2022;Retail;Germany;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Article 6(1)(1)(a);No conflict;0;0;0;0;1
unspecific;0;2021;Public sector;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;15000;0;Article 38.1, Article 38.3, Article 39.1 a), Article 39.1 b);No conflict;0;0;1;0;1
unspecific;0;2019;Human resources;Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 9 Act no. 90/2018;No conflict;1;0;1;1;1
unspecific;0;2021;Medical;Iceland;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Article 9(2)(a);No conflict;1;0;0;1;1
unspecific;0;2020;Public sector;Iceland;0;0;0;0;0;1;0;1;1;1;0;0;0;0;Article 9(2)(b);yes;1;1;1;1;1
unspecific;0;2023;Public sector;Sweden;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Article 78.1;No conflict;0;0;0;1;1
unspecific;0;2020;Leisure;Spain;0;0;0;0;0;0;0;0;1;0;0;0;4000;0;Article 5.1.c);No conflict;1;0;0;0;1
unspecific;0;Not specified;Human resources;Denmark;0;1;0;0;0;0;0;0;0;0;0;0;670;0;Not specified;No conflict;1;0;0;1;1
unspecific;0;2024;Retail;Iceland;0;0;0;0;0;0;0;0;0;0;0;0;1005;0;Article 5(1)(b) GDPR, Article 5(1)(a) GDPR, Article 6(1) GDPR, Article 12 GDPR, Article 13 GDPR, Article 30 GDPR, Article 58(2) GDPR, Article 83 GDPR;yes;1;0;1;1;1
unspecific;0;2021;Retail;Luxembourg;0;0;0;0;1;0;0;0;0;0;0;0;5300;0;Article 5.1.c), Article 13;No conflict;1;0;0;1;1
unspecific;0;2020;Public sector;Germany;0;1;0;0;0;1;0;1;0;1;1;0;0;0;Article 9(2)(h);No conflict;0;0;0;0;0
unspecific;0;2020;Retail;Iceland;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Article 5(1)(f), Article 24, Article 25, Article 32;No conflict;1;1;1;1;1
unspecific;0;2021;Public sector;Iceland;0;1;0;0;0;1;0;1;0;1;0;0;0;0;Article 13 Act no. 75/2019;No conflict;0;0;0;1;0
unspecific;0;2020;Retail;Iceland;0;0;1;0;0;0;1;0;1;0;0;0;0;0;Article 6(1)(a), Article 6(1)(f), Article 9(2)(a);No conflict;0;0;0;1;1
unspecific;0;2022;Insurance;Germany;0;0;0;0;1;0;1;0;0;0;0;1;0;0;Article 15(1) GDPR;No conflict;0;0;0;0;0
unspecific;0;2023;Public sector;Romania;0;1;0;0;0;0;1;0;0;0;0;0;500;0;Article 83(5)(e), Article 6;No conflict;0;0;0;1;1
unspecific;0;2019;Retail;Portugal;0;0;0;0;0;0;0;0;0;0;0;0;20000;0;Article 15(1) GDPR;No conflict;0;0;0;1;1
unspecific;0;2021;Public sector;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 6(1)(e);No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Iceland;0;0;0;0;0;1;0;0;1;0;0;0;0;0;Article 9(2)(f);No conflict;1;0;0;0;1
unspecific;0;2020;Public sector;Germany;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Article 6(1)(c), Article 6(3);No conflict;0;0;0;0;0
unspecific;0;2021;Retail;Germany;0;1;0;0;1;0;0;1;0;0;0;0;14385000;0;Article 83;yes;1;0;1;0;1
unspecific;0;2021;Human resources;Spain;0;1;0;0;0;0;0;0;0;0;0;0;240000;0;Article 5.1.c, Article 12;No conflict;1;0;0;1;1
unspecific;1;2020;Public sector;Germany;0;0;0;1;0;0;0;1;1;1;0;0;100;0;Article 6(1)(f);No conflict;1;0;0;0;1
unspecific;0;2021;Medical;Iceland;0;1;1;0;0;1;0;0;0;0;0;0;0;0;Article 32;No conflict;1;1;1;1;1
unspecific;0;2021;Retail;Iceland;0;1;0;0;1;0;1;0;1;0;0;0;0;0;Article 6(1)(a), Article 6(1)(f);No conflict;1;0;0;1;1
unspecific;0;2020;Retail;Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 12 Regulation (EU) 2016/679, cf. Paragraph 1 Article 17 Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;0;2019;Public sector;Portugal;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 44(2);No conflict;0;0;1;0;1
unspecific;0;2021;Security Service;Luxembourg;0;0;0;0;0;0;0;0;1;0;0;0;1900;0;Article 5.1.c) and e);No conflict;1;0;0;0;1
unspecific;0;2024;Medical;Greece;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Article 5(1)(f), Article 24 GDPR, Article 24(2) GDPR, Article 32 GDPR;No conflict;0;0;0;0;0
unspecific;0;2022;Public sector;Germany;0;1;0;0;0;0;1;0;1;0;0;0;0;0;Article 5(1) sentence 2 of the Basic Law;No conflict;0;0;0;1;1
3000;0;2020;Medical;Iceland;0;1;1;1;0;1;0;1;0;0;0;0;3000000;0;Article 5, 24, 25, 32 Regulation (EU) 2016/679;No conflict;1;1;1;0;1
389000;0;2020;Finance;Germany;0;1;0;0;1;0;0;0;0;0;0;1;2500;0;Article 82(1);No conflict;1;1;0;0;1
unspecific;0;2020;Retail;Iceland;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 9(6);No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Germany;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 6(1)(c), Article 6(1)(e), Article 86;No conflict;0;0;0;0;1
unspecific;0;2021;Retail;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;18700;0;Article 37.7, Article 38.1, Article 38.3, Article 39.1.b);No conflict;0;0;1;0;1
33200;0;2021;Retail;Germany;0;1;0;0;1;0;0;0;0;0;0;1;0;0;Article 82(1) GDPR;No conflict;1;1;1;0;1
unspecific;0;2022;Finance;Iceland;0;0;0;0;1;0;1;1;1;0;0;0;0;0;Article 9(2)(a);No conflict;0;0;0;0;0
unspecific;0;2020;Retail;Iceland;0;0;0;0;1;0;1;0;1;0;0;0;0;0;Article 7(1) of Law No 77/2000;No conflict;0;0;0;0;0
unspecific;0;2022;Education;Germany;0;1;1;0;0;1;0;1;0;1;0;0;0;0;Article 9(1);No conflict;1;0;0;1;1
unspecific;0;2023;Retail;Germany;0;1;0;0;0;0;1;0;1;0;0;0;250000;0;Article 49(1)(a);yes;1;0;0;1;1
unspecific;0;2023;Social Media;Iceland;0;0;0;0;0;0;0;0;1;0;0;0;0;1;Article 17 of Regulation (EU) 2016/679;No conflict;0;0;0;1;1
unspecific;0;2023;Retail;Germany;0;1;0;0;1;0;1;0;1;0;0;1;0;0;Article 6(1)(b), Article 6(1)(f), Article 49(1)(a), Article 49(1)(b);yes;1;0;1;1;1
unspecific;0;2020;Human resources;Iceland;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 5;No conflict;1;0;1;1;1
unspecific;0;2020;Social Media;Iceland;0;1;0;0;0;0;0;0;1;0;0;0;0;1;Article 9;yes;1;0;0;1;1
unspecific;0;2021;Social Media;Sweden;0;0;0;0;0;0;0;0;0;0;0;0;4800000;0;Article 5(1)(a) GDPR, Article 5(1)(b) GDPR, Article 6 GDPR, Article 17 GDPR;yes;1;0;0;1;1
unspecific;0;2021;Human resources;Germany;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Article 6(1)(c) GDPR;No conflict;0;0;1;0;1
unspecific;0;2021;Public sector;Iceland;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Article 6(1)(c);No conflict;0;0;0;0;0
unspecific;0;2022;Leisure;Iceland;0;1;0;0;0;0;0;0;0;0;0;1;6700;0;Article 6;yes;1;0;1;0;1
unspecific;0;2020;Retail;Netherlands;0;0;1;0;1;0;0;0;0;0;0;1;0;0;Article 21 jo. 79 AVG and Article 35 paragraph 2 Implementation AVG;No conflict;0;0;0;1;1
unspecific;0;2020;Public sector;Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Article 9(2)(e);No conflict;0;0;0;0;0
111;0;2024;Public sector;Portugal;0;1;0;0;0;1;0;1;0;1;0;0;1250000;0;Article 5(1)(a), Article 5(1)(c), Article 5(1)(e), Article 13, Article 35(3)(b), Article 9(1), Article 9(2)(e);yes;1;0;1;1;1
unspecific;0;2021;Public sector;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;6800;0;Article 5(1)(c), Article 13;No conflict;1;0;0;1;1
4600000;0;2022;Retail;France;0;1;0;0;0;0;0;0;1;0;0;0;1000000;0;Article 12, Article 14, Article 15, Article 21;No conflict;1;0;0;1;1
unspecific;0;2019;Marketing;Portugal;0;1;0;0;0;0;1;0;1;0;0;0;107000;0;Article 22;No conflict;1;0;1;1;1
unspecific;0;2020;Public sector;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 9 Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;0;2024;Retail;Germany;0;1;0;0;1;0;0;0;1;0;0;1;0;0;Article 6(1)(b) and Article 6(1)(f) GDPR;No conflict;1;0;0;0;0
unspecific;0;2021;Medical;Iceland;0;0;0;0;0;1;0;1;0;1;0;1;0;0;Article 35;No conflict;1;0;1;0;1
114;0;2021;Retail;Romania;0;1;1;0;0;0;1;0;0;0;0;0;1000;0;Article 32 para. (1) lit. b) and para. (2);No conflict;0;1;0;0;1
unspecific;0;2021;Security Service;Iceland;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;1;0;0;0;1
unspecific;0;2023;Retail;Romania;0;1;0;0;0;0;1;1;0;0;0;0;29915;0;Article 12(2), Article 17(1), Article 13(1)(c), e), f), Article 14(1)(c), e), f), Article 6(1)(a);No conflict;1;0;1;1;1
unspecific;0;2020;Public sector;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 9(5);No conflict;0;0;0;0;0
unspecific;0;2019;Public sector;Germany;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 16;No conflict;0;0;0;1;0
4;0;2022;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;0;1000;0;Article 29, Article 32(1)(b), Article 32(2), Article 32(4);No conflict;1;1;1;0;1
unspecific;0;2021;Education;Germany;0;1;1;0;0;1;1;1;0;1;1;0;0;0;Article 9(2)(a), Article 9(2)(i);yes;0;0;0;1;1
500000;0;Not specified;Leisure;Denmark;0;0;0;0;0;0;0;0;0;0;0;0;1100000;0;Article 5(1)(1)(e);No conflict;1;0;0;0;1
unspecific;0;2021;Retail;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 37.1;No conflict;0;0;1;0;0
unspecific;0;2024;Human resources;Belgium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 17.1 GDPR;No conflict;0;0;0;1;1
unspecific;0;2021;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;5000;0;Article 5(1)(d), Article 5(1)(f), Article 5(2), Article 17;No conflict;1;0;0;1;1
unspecific;0;2020;Public sector;Iceland;0;1;0;1;0;0;0;1;0;1;0;0;0;0;Article 9 Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;0;2022;Medical;Iceland;0;0;0;0;0;1;0;0;0;0;0;1;0;0;Article 28;No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Germany;0;0;1;0;0;0;0;1;0;1;0;0;150;0;Article 6(1)(e), Article 21(1), Article 4, Article 5(1)(c), Article 32;No conflict;0;0;0;0;0
unspecific;0;2021;Medical;Norway;0;0;0;0;0;0;0;0;1;0;0;0;0;1;Article 6 no. 1 letter f;yes;0;0;0;0;0
unspecific;0;2022;Leisure;Iceland;0;0;1;0;0;0;0;0;1;1;0;0;0;0;Article 17(3)(d);No conflict;0;0;0;0;0
500;0;Not specified;Retail;Germany;0;1;0;0;0;0;0;1;1;0;0;0;500005000;0;Article 6 Para. 1 DS-GVO, Article 14 DS-GVO;yes;1;0;1;1;1
unspecific;0;2022;Public sector;Sweden;0;0;0;0;0;0;0;0;0;1;0;0;1392000;0;Article 5.1, Article 13;No conflict;1;0;0;1;1
unspecific;0;2021;Social Media;Iceland;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Article 9 Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;1;2021;Public sector;Iceland;1;1;0;1;0;0;0;1;0;1;0;0;0;0;Article 13 Act no. 75/2019;No conflict;0;0;0;1;1
unspecific;0;2022;Education;Iceland;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Article 9 Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;0;2023;Public sector;Germany;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Article 5 Para. 1, Art. 16;No conflict;1;0;0;0;1
unspecific;0;2021;Human resources;Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 15;No conflict;0;0;0;1;1
unspecific;0;2021;Insurance;Luxembourg;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Article 37.7, Article 38.6;yes;0;0;1;0;1
unspecific;0;2023;Retail;Germany;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;Article 15(1);No conflict;0;0;0;1;1
unspecific;0;2022;Education;Iceland;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 6(1)(f) Regulation (EU) 2016/679;No conflict;1;0;0;1;1
unspecific;0;2020;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;Article 5(1)(d) and (f) in conjunction with Article 5(2);No conflict;1;1;0;0;1
900;0;2021;Public sector;Iceland;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Article 6;No conflict;1;1;1;1;1
unspecific;0;2020;Public sector;Iceland;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 9;No conflict;1;1;1;1;1
unspecific;0;2020;Individual;Iceland;0;0;0;0;1;0;0;0;1;0;0;0;200000;0;Article 6(1)(f);yes;1;0;1;1;1
unspecific;0;2022;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;Article 15(3);No conflict;0;0;0;1;1
unspecific;1;2021;Public sector;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 8;No conflict;1;0;1;1;1
unspecific;0;2019;Human resources;Iceland;0;0;0;0;0;1;0;1;0;0;0;1;0;0;Article 9(2)(b);No conflict;1;1;0;0;1
unspecific;0;2022;Public sector;Poland;0;1;0;0;0;0;0;1;0;1;0;0;4671;0;Article 6(1)(e);No conflict;0;0;0;1;1
unspecific;0;2025;Retail;Germany;0;1;0;0;0;0;0;0;1;0;0;0;400;0;Article 6(1)(a), Article 6(1)(f), Article 82;yes;0;0;0;1;1
unspecific;0;2021;Finance;Iceland;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;0;0;0;0;0
unspecific;0;2022;Public sector;Germany;0;1;0;1;0;0;0;1;0;1;0;0;0;0;Article 57(1)(f), Article 77(1);No conflict;0;0;0;1;1
unspecific;0;2021;Public sector;Germany;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 6(1)(c);No conflict;0;0;0;1;1
unspecific;0;2020;Public sector;Portugal;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;0;0;0;0;0
unspecific;0;2021;Security Service;Germany;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 17(1)(a), Article 17(1)(c), Article 21(1);No conflict;0;0;0;1;0
unspecific;0;2020;Public sector;Germany;0;0;0;0;0;1;0;0;0;1;0;0;0;1;Article 5(1);No conflict;0;0;0;0;0
unspecific;0;2022;Human resources;Germany;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Article 15 Para. 1, 2;No conflict;0;0;0;1;1
unspecific;0;2021;Public sector;Luxembourg;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Article 13;No conflict;0;0;0;1;1
20620;0;2020;Public sector;Denmark;0;1;0;0;0;1;0;1;0;1;0;0;1340;0;Not specified;No conflict;1;1;1;0;1
unspecific;0;2019;Public sector;Germany;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Article 15(1);No conflict;0;0;0;1;1
unspecific;0;2020;Insurance;Iceland;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Article 9(2)(a);No conflict;0;0;0;0;0
unspecific;0;2023;Marketing;Germany;0;0;0;0;0;0;1;0;1;0;0;0;26000;0;Article 4 No. 11 GDPR;No conflict;1;0;0;1;1
unspecific;0;2020;Public sector;Germany;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 1 (1) GG, Article 2 (1) GG, § 7aF DSG ND, § 43 VwGO;No conflict;1;1;1;1;1
424;0;2021;Education;Iceland;0;1;1;0;0;0;0;0;0;0;0;0;23450;0;Article 32;No conflict;1;1;0;0;1
unspecific;0;2022;Medical;Iceland;0;0;0;0;0;1;0;1;0;0;0;0;0;0;Article 38(6);yes;0;0;1;0;1
unspecific;0;2020;Public sector;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 32;No conflict;1;1;0;0;1
unspecific;0;2020;Retail;Germany;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 6(1) sentence 1 lit. c, para. 3 sentence 1, Art. 86;No conflict;0;0;0;0;0
unspecific;0;2021;Retail;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;Article 5.1.c), Article 13;No conflict;1;0;0;1;1
unspecific;0;2020;Human resources;Iceland;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Article 9(2)(a);No conflict;1;0;0;1;1
unspecific;0;2020;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;4000;0;Article 12, Article 15, Article 17;No conflict;0;0;0;1;1
unspecific;0;2021;Individual;Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 2(2)(c);No conflict;0;0;0;0;0
unspecific;0;2024;Education;Iceland;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 9 Act no. 90/2018;No conflict;1;0;0;1;1
unspecific;0;2019;Public sector;Germany;0;1;0;1;0;0;0;1;0;0;0;0;0;0;Article 78;No conflict;0;0;0;1;1
unspecific;0;2020;Public sector;Iceland;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 13 Act no. 75/2019;No conflict;0;0;0;1;1
348;0;2021;Public sector;Germany;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 15(3), Article 12(5);No conflict;0;0;0;1;1
unspecific;0;2024;Retail;Germany;0;1;0;0;0;0;0;0;0;0;0;0;75000;0;Article 15(1), (2), (3) in conjunction with Article 12(3) sentences 1 to 3 GDPR;No conflict;0;0;0;1;1
unspecific;1;2022;Public sector;Germany;0;0;0;1;1;0;0;1;0;1;0;0;0;0;Article 15 GDPR;yes;0;0;1;1;1
unspecific;0;Not specified;Insurance;Finland;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Article 15(4);No conflict;0;0;0;1;0
unspecific;0;2023;Public sector;Norway;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 6(1)(c), Article 6(1)(e);No conflict;1;0;0;0;1
unspecific;0;2021;Retail;Luxembourg;0;0;0;0;1;0;0;0;0;0;0;0;12500;0;Article 5.1.c), Article 13;No conflict;1;0;0;1;1
unspecific;0;2019;Public sector;Estonia;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Article 77 § 1;No conflict;0;0;0;1;1
unspecific;0;2024;Retail;Germany;0;1;0;0;1;0;0;0;1;0;0;0;0;0;Article 6(1)(f), Article 17(1)(a), Article 17(1)(c), Article 17(1)(d), Article 21(1), Article 13(1)(d), Article 14(2)(b), Article 15;No conflict;0;0;0;1;1
unspecific;0;2023;Medical;Romania;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;Article 12(4), Article 15(3);No conflict;0;0;0;1;1
unspecific;0;2021;Security Service;France;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Not specified;No conflict;1;0;0;0;1
unspecific;0;2022;Public sector;Iceland;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Article 9;No conflict;0;0;0;1;0
unspecific;0;2021;Medical;Iceland;0;0;0;0;0;1;0;1;0;1;0;0;0;0;Article 9(2)(i);No conflict;1;0;1;0;1
unspecific;0;2022;Public sector;Germany;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Art. 15;No conflict;0;0;0;1;0
unspecific;0;2021;Retail;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;7600;0;Article 5.1.c), Article 13;No conflict;1;0;0;1;1
unspecific;0;2021;Insurance;Iceland;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Article 14;No conflict;0;0;0;0;0
unspecific;0;2021;Retail;Iceland;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Article 9(3);No conflict;0;0;0;0;0
401;1;2021;Public sector;Ireland;0;0;0;1;1;0;0;1;0;1;0;0;11000;0;Article 6 GDPR, Article 12 GDPR, Article 13 GDPR, Article 15 GDPR;No conflict;1;0;1;1;1
unspecific;0;2020;Public sector;Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Article 6 Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;0;2021;Education;Iceland;0;1;1;0;0;1;0;1;0;1;0;0;0;0;Article 6 of the Regulation;No conflict;1;0;1;1;1
unspecific;0;2018;Social Media;Iceland;0;0;0;0;0;0;0;0;1;0;0;0;0;1;Article 17 of Regulation (EU) 2016/679;No conflict;0;0;0;0;0
unspecific;0;2017;Public sector;Portugal;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Article 5 of Decree-Law no. 207/2005;No conflict;0;0;1;0;1
unspecific;0;2022;Public sector;Iceland;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Article 4;No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Iceland;0;1;1;0;0;0;0;1;0;1;0;0;0;0;Article 15 of Regulation (EU) 2016/679;No conflict;0;0;1;1;1
unspecific;0;2019;Public sector;Iceland;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 9(3) of Act no. 90/2018;No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Not specified;No conflict;0;0;0;0;0
unspecific;0;2022;Insurance;Germany;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Article 15(1);No conflict;0;0;0;0;0
10;0;2021;Public sector;Romania;0;1;0;0;0;1;0;0;0;0;0;0;500;0;Article 32(1), Article 32(2), Article 58(1)(a), Article 58(1)(e), Article 5(f), Article 83(5);yes;1;1;1;0;1
unspecific;0;2021;Marketing;Germany;0;0;0;0;0;0;0;0;1;0;0;0;2500;0;Article 6;No conflict;1;0;0;1;1
unspecific;0;2022;Public sector;Romania;0;1;0;0;0;0;0;0;0;0;0;0;1000;0;Article 5(1)(a), b), c), f) and par. (2), Article 6;No conflict;1;1;1;1;1
unspecific;0;2020;Retail;Romania;0;1;1;0;1;0;0;1;0;0;0;0;485686;0;Article 32(4) in conjunction with Article 32(1) and (2);No conflict;1;1;1;0;1
unspecific;0;2024;Social Media;Germany;0;1;0;0;0;0;1;0;0;0;0;0;100;0;Article 82;No conflict;1;0;0;1;1
unspecific;0;2019;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;1;2000;0;Article 5(1)(a), Article 5(1)(d), Article 5(2), Article 6;yes;1;0;1;1;1
unspecific;0;2020;Retail;Spain;0;0;0;0;0;0;0;0;0;0;0;0;900;0;Article 5.1 c) RGPD;No conflict;1;0;0;0;1
unspecific;0;2024;Medical;Estonia;0;0;0;0;0;1;0;1;0;0;0;0;200000;0;Article 9(1);yes;0;1;1;0;1
unspecific;0;2021;Human resources;Germany;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;0;0;0;0;1
